,date,Solar_Radiation_Flux
0,2015-01-01,5069.087222222222
1,2015-01-02,5544.238888888889
2,2015-01-03,4807.0361111111115
3,2015-01-04,5412.287777777778
4,2015-01-05,5374.035
5,2015-01-06,5044.174444444445
6,2015-01-07,5605.205555555555
7,2015-01-08,5832.344444444445
8,2015-01-09,6110.086666666667
9,2015-01-10,6223.749444444445
10,2015-01-11,6112.089444444445
11,2015-01-12,6095.441111111111
12,2015-01-13,6219.072222222222
13,2015-01-14,5920.465
14,2015-01-15,6008.411666666667
15,2015-01-16,5556.102222222222
16,2015-01-17,5262.033888888889
17,2015-01-18,5074.3983333333335
18,2015-01-19,4844.072222222222
19,2015-01-20,5242.413888888889
20,2015-01-21,5145.29
21,2015-01-22,5422.399444444444
22,2015-01-23,5452.570555555556
23,2015-01-24,5329.835
24,2015-01-25,4801.645
25,2015-01-26,4754.5905555555555
26,2015-01-27,4788.962222222222
27,2015-01-28,4946.892777777778
28,2015-01-29,4942.74
29,2015-01-30,4887.008333333333
30,2015-01-31,5350.846666666666
31,2015-02-01,5586.09
32,2015-02-02,5249.859444444444
33,2015-02-03,5066.52
34,2015-02-04,5020.022777777778
35,2015-02-05,5292.826666666667
36,2015-02-06,5090.917777777778
37,2015-02-07,4793.402777777777
38,2015-02-08,4452.693888888889
39,2015-02-09,5155.000555555555
40,2015-02-10,5253.9766666666665
41,2015-02-11,5876.007777777778
42,2015-02-12,4435.480833333333
43,2015-02-13,5286.027777777777
44,2015-02-14,4856.2861111111115
45,2015-02-15,5728.935555555556
46,2015-02-16,5145.42
47,2015-02-17,4749.217777777778
48,2015-02-18,3776.153888888889
49,2015-02-19,5895.695
50,2015-02-20,5461.671111111111
51,2015-02-21,5428.723333333333
52,2015-02-22,4309.964722222222
53,2015-02-23,5310.195
54,2015-02-24,5159.332222222222
55,2015-02-25,4833.866111111111
56,2015-02-26,4144.896944444445
57,2015-02-27,4693.222777777778
58,2015-02-28,5736.357777777778
59,2015-03-01,5540.123333333333
60,2015-03-02,5149.33
61,2015-03-03,5152.427777777778
62,2015-03-04,5329.3516666666665
63,2015-03-05,6016.3516666666665
64,2015-03-06,5377.333333333333
65,2015-03-07,5146.507777777778
66,2015-03-08,4321.341111111111
67,2015-03-09,4672.366666666667
68,2015-03-10,4684.147222222222
69,2015-03-11,5562.169444444445
70,2015-03-12,6019.613888888889
71,2015-03-13,5180.924444444445
72,2015-03-14,5385.974444444444
73,2015-03-15,4811.065
74,2015-03-16,4576.592777777778
75,2015-03-17,4626.833611111111
76,2015-03-18,5383.515555555556
77,2015-03-19,4585.3975
78,2015-03-20,5311.971666666666
79,2015-03-21,4981.93
80,2015-03-22,4713.2716666666665
81,2015-03-23,5441.398888888889
82,2015-03-24,4461.612222222222
83,2015-03-25,4981.595555555556
84,2015-03-26,5243.586666666667
85,2015-03-27,4090.3475
86,2015-03-28,4686.137222222223
87,2015-03-29,4883.024444444444
88,2015-03-30,4115.339444444445
89,2015-03-31,4861.531666666667
90,2015-04-01,4945.291111111111
91,2015-04-02,4729.4672222222225
92,2015-04-03,4443.476944444445
93,2015-04-04,5762.675555555556
94,2015-04-05,5113.602222222222
95,2015-04-06,5289.258888888889
96,2015-04-07,4438.613333333334
97,2015-04-08,6276.480555555556
98,2015-04-09,5251.870555555555
99,2015-04-10,5341.291666666667
100,2015-04-11,4710.775
101,2015-04-12,4291.4975
102,2015-04-13,5247.252222222222
103,2015-04-14,4948.772777777778
104,2015-04-15,5079.852777777778
105,2015-04-16,5508.4783333333335
106,2015-04-17,5517.154444444444
107,2015-04-18,5172.314444444444
108,2015-04-19,5480.781666666667
109,2015-04-20,5207.573333333334
110,2015-04-21,5575.19
111,2015-04-22,5393.061111111111
112,2015-04-23,4534.1575
113,2015-04-24,3912.0144444444445
114,2015-04-25,5063.938888888889
115,2015-04-26,4926.8116666666665
116,2015-04-27,5662.487222222222
117,2015-04-28,4988.735
118,2015-04-29,5009.95
119,2015-04-30,5553.171111111111
120,2015-05-01,4885.33
121,2015-05-02,4984.7427777777775
122,2015-05-03,4502.071944444445
123,2015-05-04,5810.397777777778
124,2015-05-05,4455.6033333333335
125,2015-05-06,4863.775555555556
126,2015-05-07,4069.8344444444447
127,2015-05-08,5093.992222222222
128,2015-05-09,5540.074444444444
129,2015-05-10,4436.164722222222
130,2015-05-11,4990.577222222222
131,2015-05-12,4639.358333333334
132,2015-05-13,4580.161666666667
133,2015-05-14,3825.873611111111
134,2015-05-15,5235.050555555556
135,2015-05-16,5232.3788888888885
136,2015-05-17,4564.672777777778
137,2015-05-18,4962.025
138,2015-05-19,4989.068888888889
139,2015-05-20,5418.979444444444
140,2015-05-21,4170.570833333333
141,2015-05-22,5358.726111111111
142,2015-05-23,4874.801111111111
143,2015-05-24,4261.063055555555
144,2015-05-25,4491.893611111111
145,2015-05-26,4562.449166666666
146,2015-05-27,4517.272777777778
147,2015-05-28,4526.606666666667
148,2015-05-29,4534.3788888888885
149,2015-05-30,4400.1425
150,2015-05-31,4446.164444444445
151,2015-06-01,3798.7230555555557
152,2015-06-02,4603.085
153,2015-06-03,4973.012777777778
154,2015-06-04,4888.01
155,2015-06-05,2684.971111111111
156,2015-06-06,4706.096666666666
157,2015-06-07,3909.137777777778
158,2015-06-08,4705.2844444444445
159,2015-06-09,4364.861666666667
160,2015-06-10,4550.239444444444
161,2015-06-11,4471.4325
162,2015-06-12,4504.050833333334
163,2015-06-13,4705.760555555556
164,2015-06-14,4840.902777777777
165,2015-06-15,4261.179166666667
166,2015-06-16,4008.1444444444446
