,date,temp
92,2015-01-01,23.937066650391046
93,2015-01-02,24.129357910156045
94,2015-01-03,23.398889160156045
95,2015-01-04,23.587213134766046
96,2015-01-05,23.496179199219
97,2015-01-06,23.12169799804701
98,2015-01-07,22.899865722656045
99,2015-01-08,23.033990478516046
100,2015-01-09,22.761224365234
101,2015-01-10,21.943566894531045
102,2015-01-11,21.71047363281201
103,2015-01-12,21.670220947266046
104,2015-01-13,21.985986328125023
105,2015-01-14,22.628869628906045
106,2015-01-15,22.806573486328034
107,2015-01-16,23.485681152344
108,2015-01-17,23.859613037109
109,2015-01-18,23.765130615234
110,2015-01-19,24.037316894531045
111,2015-01-20,24.440332031250023
112,2015-01-21,24.465478515625023
113,2015-01-22,25.013757324219
114,2015-01-23,25.32229003906201
115,2015-01-24,25.111566162109
116,2015-01-25,24.163049316406045
117,2015-01-26,24.580468750000023
118,2015-01-27,24.347955322266046
119,2015-01-28,24.649194335938034
120,2015-01-29,24.710687255859
121,2015-01-30,24.688775634766046
122,2015-01-31,24.65578613281201
123,2015-02-01,25.244348144531045
124,2015-02-02,24.898828125000023
125,2015-02-03,24.804376220703034
126,2015-02-04,24.647851562500023
127,2015-02-05,24.952966308594
128,2015-02-06,24.643823242188034
129,2015-02-07,24.941644287109
130,2015-02-08,24.462091064453034
131,2015-02-09,25.264611816406045
132,2015-02-10,25.242730712891046
133,2015-02-11,25.809503173828034
134,2015-02-12,23.54235229492201
135,2015-02-13,24.664605712891046
136,2015-02-14,24.679132080078034
137,2015-02-15,25.151330566406045
138,2015-02-16,24.81701049804701
139,2015-02-17,24.809655761719
140,2015-02-18,22.498986816406045
141,2015-02-19,24.635186767578034
142,2015-02-20,24.62780151367201
143,2015-02-21,25.179956054688034
144,2015-02-22,24.097222900391046
145,2015-02-23,25.114404296875023
146,2015-02-24,24.445794677734
147,2015-02-25,24.631311035156045
148,2015-02-26,23.098046875000023
149,2015-02-27,23.206933593750023
150,2015-02-28,24.652825927734
151,2015-03-01,24.998193359375023
152,2015-03-02,24.62023315429701
153,2015-03-03,24.707330322266046
154,2015-03-04,24.653070068359
155,2015-03-05,25.335900878906045
156,2015-03-06,25.241357421875023
157,2015-03-07,25.034478759766046
158,2015-03-08,24.01711425781201
159,2015-03-09,23.846459960938034
160,2015-03-10,23.475793457031045
161,2015-03-11,23.85021362304701
162,2015-03-12,25.40172729492201
163,2015-03-13,24.82750854492201
164,2015-03-14,25.17287597656201
165,2015-03-15,24.704339599609
166,2015-03-16,23.933984375000023
167,2015-03-17,23.99596557617201
168,2015-03-18,24.639154052734
169,2015-03-19,24.824639892578034
170,2015-03-20,24.853509521484
171,2015-03-21,23.97814331054701
172,2015-03-22,24.26525268554701
173,2015-03-23,25.584283447266046
174,2015-03-24,24.345513916016046
175,2015-03-25,24.145898437500023
176,2015-03-26,24.29494628906201
177,2015-03-27,22.438653564453034
178,2015-03-28,24.033685302734
179,2015-03-29,24.299127197266046
180,2015-03-30,23.380059814453034
181,2015-03-31,24.059564208984
182,2015-04-01,24.245019531250023
183,2015-04-02,23.856408691406045
184,2015-04-03,23.758447265625023
185,2015-04-04,24.325677490234
186,2015-04-05,23.646417236328034
187,2015-04-06,24.391381835938034
188,2015-04-07,23.443261718750023
189,2015-04-08,24.802453613281045
190,2015-04-09,24.101464843750023
191,2015-04-10,24.562982177734
192,2015-04-11,23.396875000000023
193,2015-04-12,23.426324462891046
194,2015-04-13,24.113183593750023
195,2015-04-14,24.338861083984
196,2015-04-15,24.36437377929701
197,2015-04-16,24.782403564453034
198,2015-04-17,24.710168457031045
199,2015-04-18,24.71389160156201
200,2015-04-19,24.58352050781201
201,2015-04-20,24.158624267578034
202,2015-04-21,24.776666259766046
203,2015-04-22,24.322656250000023
204,2015-04-23,23.494775390625023
205,2015-04-24,23.571191406250023
206,2015-04-25,24.458062744141046
207,2015-04-26,23.03038940429701
208,2015-04-27,24.309716796875023
209,2015-04-28,24.030084228516046
210,2015-04-29,24.037774658203034
211,2015-04-30,24.32164916992201
212,2015-05-01,24.28176269531201
213,2015-05-02,23.882562255859
214,2015-05-03,22.887475585938034
215,2015-05-04,24.664270019531045
216,2015-05-05,23.313165283203034
217,2015-05-06,24.152520751953034
218,2015-05-07,23.106683349609
219,2015-05-08,24.385919189453034
220,2015-05-09,24.593225097656045
221,2015-05-10,23.053186035156045
222,2015-05-11,24.107202148438034
223,2015-05-12,23.664453125000023
224,2015-05-13,23.704522705078034
225,2015-05-14,23.123620605469
226,2015-05-15,24.148675537109
227,2015-05-16,24.283197021484
228,2015-05-17,24.588861083984
229,2015-05-18,23.419396972656045
230,2015-05-19,23.928521728516046
231,2015-05-20,24.709771728516046
232,2015-05-21,22.690240478516046
233,2015-05-22,24.202050781250023
234,2015-05-23,24.01696166992201
235,2015-05-24,23.341607666016046
236,2015-05-25,23.916101074219
237,2015-05-26,24.083642578125023
238,2015-05-27,23.847711181641046
239,2015-05-28,23.477624511719
240,2015-05-29,23.419885253906045
241,2015-05-30,23.220269775391046
242,2015-05-31,23.315118408203034
243,2015-06-01,23.315637207031045
244,2015-06-02,22.996423339844
245,2015-06-03,23.508874511719
246,2015-06-04,23.400292968750023
247,2015-06-05,22.165521240234
248,2015-06-06,22.925042724609
249,2015-06-07,22.366021728516046
250,2015-06-08,23.212670898438034
251,2015-06-09,22.668206787109
252,2015-06-10,23.26452026367201
253,2015-06-11,22.730645751953034
254,2015-06-12,22.723870849609
255,2015-06-13,22.98595581054701
256,2015-06-14,23.229577636719
257,2015-06-15,22.93215332031201
